timestamp,role,type,data
1766172365.1725898,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-8,-8,-8,-8,-9,-7,-9,-8,-8,-7,-8,-7,-9,-6,-8,-6,-9,-6,-9,-5,-9,-6,-10,-5,-9,-5,-9,-5,-9,-5,-11,-4,-10,-3,-9,-4,-10,-3,-10,-3,-10,-3,-10,-3,-9,-3,-11,-2,-11,-3,-11,-3,0,0,-12,-2,-12,-3,-12,-2,-12,-2,-11,-3,-12,-3,-12,-2,-11,-3,-12,-3,-11,-3,-11,-4,-10,-4,-10,-4,-10,-4,-10,-4,-10,-4,-10,-5,-9,-5,-9,-5,-8,-5,-8,-5,-8,-5,-7,-5,-7,-6,-7,-6,-5,-7,0,0,0,0,0,0,0,0,0,0"
1766172365.1926048,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-11,1,-11,1,-11,2,-12,2,-11,2,-11,1,-11,2,-10,2,-10,2,-10,3,-11,3,-10,4,-10,3,-10,4,-10,3,-10,5,-9,5,-9,4,-9,5,-9,5,-9,5,-9,6,-8,5,-8,7,-9,7,-9,7,0,0,-9,7,-10,7,-10,7,-9,7,-9,6,-10,7,-9,7,-9,6,-10,6,-9,6,-10,6,-10,5,-9,5,-10,4,-9,4,-10,4,-9,4,-9,3,-9,3,-9,3,-9,2,-9,2,-8,1,-9,1,-8,0,-8,-1,0,0,0,0,0,0,0,0,0,0"
1766172365.2143698,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-7,7,-10,8,-7,8,-8,8,-7,7,-8,7,-8,7,-7,6,-7,8,-5,9,-7,8,-5,9,-6,10,-5,8,-5,9,-5,9,-4,10,-4,8,-3,8,-4,9,-4,9,-4,9,-3,9,-2,10,-3,11,-3,11,0,0,-3,11,-3,11,-3,12,-2,11,-3,11,-3,11,-3,11,-3,11,-4,11,-3,10,-4,11,-4,10,-4,10,-5,10,-5,9,-5,10,-5,9,-5,9,-5,8,-5,8,-6,7,-6,7,-6,6,-6,6,-6,5,-6,4,0,0,0,0,0,0,0,0,0,0"
1766172365.236307,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-5,9,-5,9,-4,10,-5,10,-4,10,-4,9,-4,9,-3,9,-3,9,-3,9,-3,10,-2,10,-2,10,-2,10,-2,9,-1,11,0,10,-1,9,0,9,0,10,-1,9,0,10,0,9,1,10,1,11,1,11,0,0,1,11,1,12,1,12,2,12,1,11,1,11,1,11,1,11,0,11,0,11,0,12,-1,11,-1,11,-1,10,-1,10,-2,10,-2,10,-2,10,-2,9,-2,8,-3,8,-3,8,-4,8,-4,8,-4,7,-5,6,0,0,0,0,0,0,0,0,0,0"
1766172365.254002,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,8,6,8,7,8,6,9,7,8,6,8,6,8,6,9,5,8,5,8,4,9,5,9,4,9,4,9,3,9,3,10,3,10,2,9,2,9,2,9,2,9,2,10,1,9,1,10,1,11,1,11,1,0,0,11,1,11,1,12,1,12,0,11,1,11,1,11,1,11,1,12,1,11,1,12,2,10,2,10,2,10,2,10,3,10,3,10,3,10,3,9,3,8,4,8,4,8,4,7,4,7,5,6,5,5,5,0,0,0,0,0,0,0,0,0,0"
1766172365.2681901,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,6,8,7,7,7,7,8,8,7,7,7,7,7,6,7,7,7,7,7,6,8,7,9,5,8,6,8,5,7,6,9,5,9,4,8,5,9,4,9,4,9,5,9,4,9,4,10,2,10,4,11,3,0,0,11,4,11,3,11,4,12,3,10,4,11,4,11,4,10,5,11,4,10,4,11,6,9,5,9,6,9,6,8,5,9,6,9,5,8,6,8,6,7,6,6,7,6,6,5,7,6,6,4,6,3,7,0,0,0,0,0,0,0,0,0,0"
1766172365.2929373,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,3,-9,5,-10,3,-10,4,-10,3,-10,3,-10,3,-10,3,-11,2,-9,1,-10,2,-10,0,-11,1,-9,1,-11,1,-10,0,-11,-1,-11,0,-10,-1,-10,-1,-11,-1,-10,-2,-11,-1,-11,-2,-11,-2,-12,-2,-12,0,0,-3,-12,-2,-13,-3,-13,-3,-13,-2,-12,-2,-13,-2,-13,-2,-12,-2,-13,-2,-12,-1,-13,-1,-13,0,-11,0,-12,0,-12,1,-11,1,-11,1,-11,2,-11,1,-12,2,-9,1,-10,3,-9,3,-9,3,-8,3,-7,0,0,0,0,0,0,0,0,0,0"
1766172365.3112738,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,2,12,-1,11,1,10,0,7,-2,10,0,9,1,8,1,8,-1,11,-2,9,-2,12,-1,9,-3,9,-1,11,-7,9,-4,8,-3,5,-5,10,-4,9,-3,10,-7,9,-5,8,-7,10,-6,8,-6,0,0,9,-7,9,-8,9,-8,10,-8,8,-7,10,-6,9,-7,9,-7,9,-6,10,-7,10,-7,9,-6,9,-6,9,-5,9,-5,9,-5,10,-5,9,-5,9,-4,9,-4,9,-3,8,-3,8,-2,8,-2,7,-1,7,-1,0,0,0,0,0,0,0,0,0,0"
1766172365.3348515,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-7,7,-6,8,-6,8,-7,8,-6,8,-6,8,-6,8,-5,8,-5,8,-5,8,-5,9,-4,10,-4,9,-4,9,-4,9,-4,10,-2,10,-3,9,-2,10,-2,10,-3,10,-2,10,-2,9,-1,10,-2,11,-1,11,0,0,-1,11,-2,12,-1,12,-1,12,-2,11,-1,12,-1,12,-1,11,-2,12,-1,11,-2,12,-3,11,-3,11,-3,11,-3,10,-3,10,-4,10,-4,10,-4,9,-4,9,-4,8,-5,8,-5,8,-5,7,-5,6,-6,6,0,0,0,0,0,0,0,0,0,0"
1766172365.352023,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,10,3,9,3,9,2,9,3,9,2,9,2,9,2,8,2,9,1,9,0,9,2,11,0,10,0,10,-1,9,0,11,-1,10,-2,9,-1,9,-2,10,-2,10,-1,10,-3,9,-3,10,-4,11,-4,11,-4,0,0,11,-4,12,-4,12,-4,11,-4,11,-3,12,-4,11,-4,11,-3,12,-3,11,-3,12,-3,11,-2,11,-2,11,-2,11,-1,11,-1,11,-1,10,-1,10,-1,9,0,9,0,9,1,8,1,8,1,8,2,7,3,0,0,0,0,0,0,0,0,0,0"
1766172365.3884134,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-8,-8,-8,-8,-9,-7,-9,-8,-8,-7,-8,-7,-9,-7,-9,-7,-9,-6,-9,-6,-9,-7,-10,-5,-9,-5,-10,-5,-9,-5,-11,-5,-11,-4,-10,-4,13,2,-14,3,-13,3,0,0,-15,4,-14,3,-15,2,-15,3,-13,2,-15,1,-15,2,-14,2,-15,1,-15,1,-15,2,-13,0,-14,0,-13,0,-12,-1,-14,-1,-13,0,-12,-2,-12,-3,-11,-1,-11,-3,-11,-4,-11,-3,-10,-4,-9,-5,-9,-4,,-12,-2,-12,-3,-11,-1,-11,-3,-11,-4,-11,-3,-10,-4,-9,-5,-9,-4,,-12,-2,-12,-3,-11,-1,-11,-3,-11,-4,-11,-3,-10,-4,-9,-5,-9,-4,,-12,-2,-12,-3,-11,-1,-11,-3,-11,-4,-11,-3,-10,-4,-9,-5,-9,-4,,-12,-2,-12,-3,-11,-1,-11,-3,-11,-4,-11,-3,-10,-4,-9,-5,-9,-4,,-12,-2,-12,-3,-11,-1,-11,-3,-11,-4,-11,-3,-10,-4,-9,-5,-9,-4,0,0,0,0,0,0,0,0,0,0"
1766172365.4142814,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,7,-10,6,-10,6,-10,7,-11,6,-10,7,-10,6,-11,5,-10,6,-10,5,-10,6,-11,4,-12,4,-12,4,-12,4,-11,4,-13,3,-12,3,-11,2,-12,3,-12,3,-12,2,-13,2,-12,1,-13,2,-14,1,-14,0,0,1,-15,2,-14,1,-15,1,-15,2,-14,1,-15,1,-15,1,-14,2,-15,1,-14,2,-15,2,-13,3,-13,3,-13,3,-12,3,-13,3,-12,4,-12,4,-12,4,-11,4,-10,4,-10,4,-9,5,-9,5,-8,5,-7,0,0,0,0,0,0,0,0,0,0"
1766172365.4374797,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,4,-10,4,-10,1,-12,3,-12,3,-11,3,-12,2,-13,2,-11,2,-12,3,-12,3,-13,1,-13,1,-12,2,-11,2,-12,0,-14,0,-13,0,-12,-1,-12,0,-12,-1,-12,-2,-13,-2,-12,-2,-13,-2,-14,-2,-14,0,0,-3,-14,-3,-14,-3,-15,-3,-14,-2,-14,-3,-14,-3,-14,-2,-14,-2,-14,-2,-14,-1,-15,-1,-13,0,-14,0,-13,0,-13,0,-13,1,-13,0,-13,1,-12,1,-12,2,-11,2,-11,3,-10,3,-10,4,-9,4,-8,0,0,0,0,0,0,0,0,0,0"
