timestamp,role,type,data
1766172376.9445965,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-11,-5,-11,-5,-12,-5,-11,-5,-12,-5,-12,-4,-12,-4,-12,-4,-12,-4,-12,-3,-12,-4,-13,-3,-13,-3,-13,-3,-12,-2,-14,-2,-13,-1,-13,-1,-13,0,-13,0,-13,0,-14,0,-13,0,-15,1,-14,1,-15,1,0,0,-15,1,-15,1,-15,1,-16,2,-15,1,-16,1,-16,1,-15,1,-15,0,-15,0,-16,0,-14,0,-14,0,-14,-1,-14,-1,-14,-1,-14,-2,-13,-1,-13,-2,-12,-2,-12,-2,-11,-3,-11,-3,-11,-4,-10,-4,-9,-4,0,0,0,0,0,0,0,0,0,0"
1766172376.964753,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,5,9,5,9,4,10,5,11,5,11,5,9,6,9,6,9,5,9,6,10,6,10,7,10,8,10,7,9,8,8,8,9,9,8,9,8,10,7,9,7,9,6,10,7,9,7,11,7,10,8,11,8,0,0,12,7,12,8,12,7,12,7,11,7,12,8,12,7,12,7,11,8,11,8,11,8,10,8,10,8,10,8,9,8,9,8,8,8,8,8,8,8,8,8,7,8,7,7,6,7,6,8,5,8,4,8,0,0,0,0,0,0,0,0,0,0"
1766172376.9863288,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,10,-2,12,-1,12,-1,12,-1,11,-2,10,-3,12,-3,11,-3,12,-2,11,-3,12,-3,12,-4,11,-4,11,-4,11,-4,12,-5,11,-6,11,-6,12,-6,11,-6,11,-6,11,-6,10,-7,11,-8,12,-7,12,-9,0,0,12,-9,12,-8,12,-8,12,-9,12,-8,12,-8,13,-8,12,-8,13,-7,12,-8,13,-7,12,-7,12,-6,12,-6,12,-6,12,-5,12,-5,11,-5,11,-4,11,-4,10,-4,10,-3,10,-3,10,-2,9,-2,9,-1,0,0,0,0,0,0,0,0,0,0"
1766172377.002805,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,2,11,2,11,2,11,1,12,2,11,2,11,3,11,3,11,3,11,4,11,3,11,4,12,4,11,4,11,4,11,5,12,6,11,6,10,7,11,7,11,6,10,7,11,7,10,8,10,8,11,9,11,0,0,9,11,9,11,9,12,9,12,9,11,9,12,9,12,8,11,8,12,8,11,8,12,7,11,7,11,7,12,6,11,6,12,6,11,6,11,5,11,5,10,4,10,3,10,3,10,2,10,2,9,1,9,0,0,0,0,0,0,0,0,0,0"
1766172377.0289116,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-7,-9,-7,-9,-8,-10,-8,-10,-7,-9,-8,-9,-8,-9,-8,-9,-8,-9,-9,-8,-9,-9,-10,-9,-9,-8,-9,-8,-9,-8,-10,-8,-11,-7,-10,-7,-12,-7,-11,-7,-11,-7,-12,-7,-11,-6,-13,-6,-12,-6,-13,-7,0,0,-14,-6,-13,-6,-14,-7,-14,-6,-13,-7,-14,-7,-14,-7,-13,-7,-13,-7,-13,-7,-13,-8,-12,-7,-12,-7,-12,-8,-11,-8,-12,-8,-11,-8,-10,-8,-10,-8,-9,-7,-9,-8,-9,-7,-8,-8,-8,-8,-7,-8,-6,-8,0,0,0,0,0,0,0,0,0,0"
1766172377.0526056,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-8,8,-8,8,-8,9,-9,8,-8,8,-8,8,-8,9,-8,9,-8,9,-7,9,-8,9,-8,10,-7,10,-7,10,-6,10,-7,11,-6,11,-6,11,-5,11,-6,11,-5,11,-5,12,-5,12,-5,13,-5,13,-5,13,0,0,-5,14,-5,14,-5,14,-5,14,-5,14,-6,14,-6,14,-6,14,-6,13,-6,14,-7,13,-6,12,-6,12,-7,12,-7,12,-7,12,-7,11,-7,11,-7,10,-7,10,-7,9,-7,9,-8,8,-8,8,-8,7,-8,6,0,0,0,0,0,0,0,0,0,0"
1766172377.0733166,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-5,9,-6,10,-5,11,-6,10,-5,10,-5,11,-5,11,-5,11,-5,11,-4,11,-4,11,-4,12,-3,12,-3,12,-3,11,-3,13,-2,13,-2,12,-1,13,-1,13,-2,12,0,13,0,14,-2,9,-1,13,0,14,0,0,1,15,0,14,1,15,1,15,1,14,0,15,0,15,0,15,0,15,0,15,0,15,0,14,0,14,-1,14,-1,13,-1,14,-2,13,-2,13,-2,12,-2,12,-3,11,-3,11,-3,11,-3,10,-4,10,-4,9,0,0,0,0,0,0,0,0,0,0"
1766172377.0906296,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,8,6,8,6,9,7,8,7,9,6,8,6,9,6,9,5,9,6,10,5,10,6,10,5,10,5,10,5,10,4,11,5,11,3,11,3,12,3,12,3,11,2,12,2,12,2,13,1,13,2,14,2,0,0,14,1,14,2,14,1,15,1,13,1,14,1,14,2,14,1,14,2,14,2,14,3,13,2,13,3,13,2,13,3,12,3,13,3,12,3,12,3,11,3,11,3,10,3,10,4,9,5,8,4,8,5,0,0,0,0,0,0,0,0,0,0"
1766172377.1146135,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,3,-11,4,-11,3,-12,4,-11,3,-11,3,-11,3,-12,3,-11,3,-11,2,-12,3,-12,2,-13,2,-12,1,-12,1,-12,1,-13,0,-13,0,-13,0,-13,0,-13,-1,-12,-1,-13,-1,-13,-2,-14,-2,-14,-2,-15,0,0,-2,-15,-2,-15,-2,-15,-3,-15,-2,-15,-2,-15,-2,-15,-2,-15,-1,-15,-2,-15,-1,-15,-1,-14,-1,-14,-1,-14,0,-14,0,-14,0,-14,0,-13,1,-13,1,-12,1,-12,2,-11,2,-11,2,-11,2,-10,3,-10,0,0,0,0,0,0,0,0,0,0"
1766172377.1345248,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-8,8,-8,8,-8,8,-8,8,-8,8,-8,8,-8,9,-7,9,-8,8,-7,9,-7,9,-7,10,-6,10,-6,10,-6,10,-7,11,-6,11,-5,10,-5,11,-5,11,-5,10,-5,12,-4,11,-4,13,-4,13,-4,13,0,0,-4,14,-4,13,-5,14,-4,14,-4,13,-5,14,-5,14,-5,13,-5,13,-5,13,-6,13,-5,12,-5,12,-6,12,-6,11,-6,12,-6,11,-6,11,-7,10,-6,10,-7,9,-7,9,-7,8,-7,8,-7,7,-7,6,0,0,0,0,0,0,0,0,0,0"
