timestamp,role,type,data
1766172365.1086683,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-8,-9,-9,-9,-9,-7,-9,-9,-8,-8,-8,-8,-8,-7,-8,-7,-8,-7,-8,-6,-8,-8,-9,-6,-8,-6,-8,-6,-8,-6,-9,-6,-8,-5,-7,-5,-8,-4,-8,-4,-8,-5,-8,-4,-7,-5,-8,-4,-9,-5,-9,-5,0,0,-9,-4,-8,-5,-9,-5,-9,-4,-8,-5,-8,-5,-8,-5,-8,-4,-8,-5,-7,-5,-7,-5,-6,-5,-6,-5,-6,-5,-6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-5,-4,-5,-4,-5,-3,-5,-3,-5,-2,-5,-2,-5,0,0,0,0,0,0,0,0,0,0"
1766172365.1254687,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,1,11,0,11,0,11,0,10,1,10,0,9,0,9,1,9,1,10,1,9,1,9,1,9,1,8,2,9,2,8,2,8,2,7,2,8,2,7,2,8,2,7,3,7,3,8,3,8,0,0,3,8,2,8,3,8,3,8,2,7,2,8,2,7,2,7,2,8,2,7,1,8,1,7,1,6,0,7,0,7,0,6,0,6,-1,6,-1,6,-1,5,-1,5,-1,5,-2,4,-2,4,-2,4,-2,3,0,0,0,0,0,0,0,0,0,0"
1766172365.14067,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,10,5,9,5,10,4,10,5,9,4,8,4,8,4,8,3,8,4,8,3,9,4,9,3,8,3,8,2,8,3,9,2,8,1,7,2,8,1,8,1,7,1,8,1,7,1,8,0,8,1,8,1,0,0,8,1,8,1,9,1,8,1,7,1,8,2,8,1,7,2,7,2,7,2,7,3,6,2,6,2,6,3,5,3,5,3,5,3,5,3,4,3,4,3,4,3,3,3,3,3,3,3,2,3,2,3,0,0,0,0,0,0,0,0,0,0"
1766172365.1580124,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,4,10,4,10,5,9,4,10,4,9,4,9,4,9,4,8,4,9,4,7,4,9,5,8,5,7,5,7,4,7,5,7,5,7,4,6,5,6,5,6,4,6,5,6,5,6,6,6,6,6,6,6,0,0,6,6,5,7,6,7,5,6,4,6,4,6,4,6,4,6,4,7,4,6,4,7,3,6,3,6,3,6,2,6,2,6,2,6,2,6,1,5,1,5,1,5,0,5,0,5,0,5,-1,5,-1,4,0,0,0,0,0,0,0,0,0,0"
1766172365.1774716,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-12,-2,-12,-2,-12,-1,-12,-2,-12,-1,-11,-2,-11,-1,-10,-1,-10,-1,-10,0,-11,-1,-11,0,-10,0,-10,0,-9,0,-10,1,-9,1,-9,1,-9,1,-9,1,-9,1,-9,2,-8,1,-9,2,-9,2,-9,2,0,0,-9,2,-10,2,-9,2,-9,2,-9,1,-9,1,-9,1,-9,1,-8,1,-8,0,-9,0,-8,0,-8,0,-8,-1,-7,-1,-7,-1,-7,-1,-7,-1,-7,-1,-6,-1,-6,-2,-6,-2,-5,-2,-5,-2,-5,-2,-4,-3,0,0,0,0,0,0,0,0,0,0"
1766172365.1949377,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,10,6,9,5,10,5,9,5,9,5,8,5,8,5,8,5,7,5,8,6,7,6,7,6,7,5,7,6,7,6,6,5,6,6,5,6,6,5,6,6,6,5,5,6,5,6,6,6,5,0,0,7,6,6,5,7,6,6,5,5,6,5,6,6,6,5,5,5,6,5,5,5,6,4,5,4,6,4,5,3,5,3,6,3,5,3,5,2,5,2,5,1,5,1,5,1,4,1,5,0,4,0,4,0,0,0,0,0,0,0,0,0,0"
1766172365.218429,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,1,-12,1,-12,0,-12,1,-12,1,-11,1,-11,0,-11,0,-10,0,-11,0,-10,0,-11,0,-11,0,-10,-1,-10,0,-9,-1,-10,-2,-10,-1,-9,-2,-9,-2,-9,-1,-9,-2,-9,-2,-9,-2,-9,-2,-10,-2,-9,0,0,-3,-9,-2,-9,-2,-10,-2,-9,-1,-9,-1,-9,-1,-9,-1,-9,-1,-9,-1,-9,-1,-9,0,-8,0,-8,0,-8,0,-7,0,-7,1,-7,1,-7,1,-6,1,-6,1,-6,1,-6,2,-5,2,-5,2,-5,2,-4,0,0,0,0,0,0,0,0,0,0"
1766172365.2333555,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,6,9,6,9,7,8,7,9,6,8,6,8,6,7,5,7,6,7,6,7,6,8,6,7,6,7,6,6,5,6,7,6,6,5,6,5,6,5,6,5,6,5,7,5,6,5,6,4,7,5,7,5,0,0,7,5,7,5,7,5,7,5,6,5,6,5,6,5,6,5,6,5,5,5,5,6,4,5,4,5,4,5,4,5,4,5,3,5,3,5,3,5,2,5,2,4,2,5,1,4,1,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0"
1766172365.2532444,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-8,-8,-8,-8,-8,-6,-9,-8,-8,-7,-8,-7,-8,-6,-8,-6,-8,-6,-7,-5,-8,-6,-9,-5,-8,-5,-8,-5,-8,-5,-8,-5,-8,-4,-7,-4,-8,-4,-8,-4,-7,-4,-8,-3,-7,-3,-8,-3,-8,-3,-8,-3,0,0,-8,-3,-8,-4,-9,-4,-8,-3,-8,-4,-8,-4,-8,-4,-7,-4,-7,-4,-7,-4,-7,-4,-6,-4,-6,-4,-6,-5,-5,-4,-5,-5,-5,-4,-5,-4,-5,-4,-4,-4,-4,-4,-4,-4,-3,-4,-3,-4,-3,-4,-2,-4,0,0,0,0,0,0,0,0,0,0"
1766172365.2702065,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,9,7,9,6,9,6,9,6,8,6,8,6,8,5,8,5,8,5,8,4,8,5,8,4,8,4,8,4,8,4,8,3,8,3,7,3,8,2,8,2,7,2,8,2,7,2,8,2,8,2,8,2,0,0,8,2,8,3,8,2,8,2,7,2,8,2,8,2,7,2,7,2,7,3,7,3,6,3,6,3,6,3,5,3,5,3,5,3,5,3,4,3,4,3,4,3,3,3,3,3,3,4,2,4,2,4,0,0,0,0,0,0,0,0,0,0"
