ts,type,data
1766188145.681543,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-1,10,-1,10,0,10,0,10,0,10,0,9,0,9,0,9,0,9,1,8,1,9,1,9,1,9,1,8,1,8,2,9,2,8,2,8,3,8,2,8,2,8,3,8,2,7,3,8,3,8,3,8,0,0,3,8,3,8,3,8,3,8,2,8,2,8,2,8,2,8,2,8,2,8,2,8,1,7,1,7,1,7,0,7,0,7,0,7,0,7,0,7,0,6,-1,6,-1,6,-1,5,-2,6,-2,5,-3,5,0,0,0,0,0,0,0,0,0,0"
1766188145.6998093,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,9,-7,9,-7,8,-7,9,-7,8,-7,8,-7,7,-7,7,-7,7,-7,7,-7,7,-8,6,-8,6,-8,6,-8,6,-7,6,-8,5,-8,5,-7,5,-8,5,-8,5,-8,5,-9,4,-8,4,-9,5,-9,4,-9,0,0,4,-9,5,-9,5,-10,4,-9,5,-8,5,-9,5,-9,5,-8,5,-8,5,-8,5,-8,5,-7,5,-7,6,-7,5,-6,5,-6,5,-6,5,-6,5,-5,5,-5,5,-4,5,-4,5,-3,5,-3,5,-3,5,-2,0,0,0,0,0,0,0,0,0,0"
1766188145.720354,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,3,-11,3,-10,3,-11,3,-11,3,-10,3,-10,2,-10,2,-10,2,-10,1,-9,2,-10,1,-10,1,-10,1,-9,1,-9,0,-10,-1,-10,0,-9,-1,-9,-1,-9,0,-9,-1,-9,-1,-9,-1,-10,-1,-10,-1,-10,0,0,-2,-10,-1,-10,-1,-10,-2,-10,-1,-9,-1,-10,-1,-10,-1,-9,-1,-9,0,-9,0,-9,0,-8,0,-9,0,-8,1,-8,1,-8,1,-8,1,-8,1,-7,1,-7,2,-7,2,-6,2,-6,2,-6,3,-5,3,-5,0,0,0,0,0,0,0,0,0,0"
1766188145.7394247,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,9,-6,9,-6,9,-6,10,-6,8,-6,8,-5,8,-6,8,-6,8,-6,7,-6,8,-6,7,-7,7,-7,7,-7,7,-6,7,-7,6,-7,6,-7,6,-7,6,-7,6,-7,6,-7,5,-7,5,-8,6,-8,6,-8,0,0,6,-8,6,-8,6,-8,6,-8,6,-7,6,-7,6,-7,6,-7,6,-7,6,-6,6,-6,6,-6,6,-6,6,-5,6,-5,6,-5,6,-5,6,-4,6,-4,6,-4,6,-3,6,-3,5,-3,6,-2,5,-2,5,-1,0,0,0,0,0,0,0,0,0,0"
1766188145.755224,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,9,4,9,4,10,3,10,4,9,3,9,4,9,3,8,3,9,3,9,2,9,2,9,1,9,2,9,1,9,2,9,1,9,0,8,1,9,0,9,0,8,0,9,0,8,0,9,-1,9,-1,9,-1,0,0,9,0,9,0,10,-1,9,0,9,0,9,0,9,0,9,0,9,1,8,1,9,1,8,1,8,1,8,1,7,2,7,2,7,2,7,2,6,2,6,2,5,3,5,3,5,3,5,3,4,3,4,3,0,0,0,0,0,0,0,0,0,0"
1766188145.7730627,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-8,8,-8,8,-7,8,-8,8,-7,7,-7,7,-7,7,-6,7,-6,8,-6,7,-6,8,-5,8,-6,8,-5,8,-5,8,-5,8,-4,8,-4,8,-4,8,-4,8,-4,8,-4,8,-4,8,-3,9,-4,9,-3,9,0,0,-3,9,-4,9,-4,9,-3,9,-4,8,-4,9,-4,8,-4,8,-4,8,-4,8,-4,8,-5,7,-5,7,-5,7,-5,6,-5,6,-5,6,-5,6,-5,5,-5,5,-5,5,-5,4,-5,4,-5,4,-5,3,-6,2,0,0,0,0,0,0,0,0,0,0"
1766188145.7911966,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-9,6,-9,6,-9,7,-9,7,-9,6,-8,6,-8,6,-8,6,-8,6,-7,6,-8,7,-7,7,-7,7,-7,7,-7,6,-6,8,-6,7,-6,7,-6,7,-6,7,-6,7,-5,7,-5,7,-5,8,-5,8,-5,8,0,0,-5,8,-6,8,-6,8,-5,8,-6,7,-6,8,-6,8,-6,7,-6,7,-6,7,-6,7,-6,6,-6,6,-6,5,-6,5,-6,5,-7,5,-6,5,-6,4,-6,3,-6,3,-6,3,-6,2,-7,2,-6,2,-6,1,0,0,0,0,0,0,0,0,0,0"
1766188145.8134792,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-11,-3,-11,-3,-12,-2,-12,-3,-11,-3,-10,-3,-11,-2,-10,-2,-10,-2,-10,-1,-11,-2,-11,-1,-11,-1,-10,-1,-10,-1,-11,0,-10,0,-10,0,-9,1,-10,0,-9,0,-10,1,-9,0,-10,2,-10,1,-10,1,0,0,-10,1,-11,1,-11,1,-11,1,-10,0,-10,1,-10,0,-10,0,-10,0,-10,0,-10,-1,-9,-1,-9,-1,-9,-1,-9,-2,-8,-2,-9,-2,-8,-2,-8,-2,-7,-2,-7,-3,-7,-3,-7,-3,-6,-3,-6,-4,-5,-4,0,0,0,0,0,0,0,0,0,0"
1766188145.8310986,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-9,7,-8,7,-8,8,-8,7,-8,7,-7,7,-7,7,-7,7,-7,7,-6,7,-7,8,-6,8,-6,8,-6,8,-6,7,-5,9,-4,8,-5,8,-4,8,-4,8,-4,8,-4,8,-4,8,-3,9,-4,9,-4,9,0,0,-4,9,-4,9,-4,9,-4,9,-4,8,-4,8,-4,8,-4,8,-5,8,-4,8,-5,8,-5,7,-5,7,-5,7,-5,6,-5,6,-5,6,-5,6,-5,5,-5,5,-5,4,-5,4,-5,4,-6,4,-6,3,-6,2,0,0,0,0,0,0,0,0,0,0"
1766188145.8515046,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-1,-11,-1,-12,-2,-11,-1,-12,-1,-11,-1,-11,-2,-11,-2,-10,-2,-11,-3,-10,-2,-11,-3,-10,-3,-10,-3,-10,-3,-10,-4,-10,-4,-9,-4,-9,-4,-9,-4,-9,-4,-9,-5,-9,-4,-8,-5,-9,-5,-9,-5,-9,0,0,-6,-9,-5,-9,-5,-10,-5,-9,-4,-9,-5,-9,-5,-9,-4,-9,-4,-9,-4,-9,-4,-9,-3,-8,-3,-9,-3,-9,-2,-8,-2,-9,-2,-8,-2,-8,-2,-8,-1,-7,-1,-7,-1,-7,0,-7,0,-7,1,-6,1,-6,0,0,0,0,0,0,0,0,0,0"
