ts,type,data
1766188162.3082159,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-9,-8,-9,-8,-9,-8,-8,-8,-9,-7,-8,-7,-8,-7,-9,-6,-8,-6,-9,-6,-8,-6,-9,-6,-9,-6,-8,-5,-8,-5,-9,-5,-9,-4,-8,-4,-9,-4,-9,-4,-8,-4,-9,-3,-8,-3,-9,-3,-9,-4,-9,-3,0,0,-9,-3,-9,-4,-9,-3,-9,-3,-8,-3,-9,-4,-8,-4,-8,-3,-9,-5,-8,-4,-8,-5,-8,-5,-7,-4,-7,-4,-7,-3,-8,-5,-7,-4,-7,-5,-4,-5,-4,-5,-6,-5,-4,-6,-2,-5,-4,-5,-2,-3,-2,-5,0,0,0,0,0,0,0,0,0,0"
1766188162.3289204,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-11,-4,-11,-4,-12,-4,-11,-4,-11,-4,-10,-4,-11,-3,-10,-3,-10,-3,-10,-2,-10,-3,-10,-2,-10,-2,-10,-2,-9,-2,-10,-2,-10,-1,-9,-1,-10,0,-9,0,-9,-1,-9,0,-9,0,-10,0,-9,0,-10,0,0,0,-10,0,-10,0,-10,0,-10,0,-9,-1,-9,-1,-9,-1,-9,-1,-9,-1,-9,-1,-9,-2,-8,-2,-8,-2,-8,-2,-8,-2,-8,-3,-7,-3,-7,-3,-7,-3,-6,-3,-6,-3,-6,-3,-5,-3,-5,-4,-5,-4,-4,-4,0,0,0,0,0,0,0,0,0,0"
1766188162.3445747,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,7,-10,7,-10,7,-10,8,-9,6,-9,6,-9,6,-9,6,-9,5,-9,5,-9,6,-9,5,-10,5,-9,5,-8,4,-8,4,-9,3,-9,4,-9,2,-9,3,-9,3,-8,3,-9,3,-9,2,-9,3,-9,3,-10,0,0,3,-10,3,-9,3,-9,3,-10,3,-9,3,-9,4,-9,3,-8,4,-9,4,-8,4,-8,4,-7,4,-7,4,-7,4,-7,4,-6,4,-6,4,-5,4,-5,4,-5,4,-4,4,-4,4,-4,4,-4,4,-3,4,-3,0,0,0,0,0,0,0,0,0,0"
1766188162.3613408,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,7,-9,7,-9,7,-10,7,-9,7,-9,6,-9,6,-9,6,-9,5,-8,5,-9,5,-9,5,-9,5,-9,4,-9,4,-9,4,-9,3,-9,3,-9,3,-9,3,-9,3,-8,3,-9,2,-9,2,-10,2,-9,3,-9,0,0,2,-9,3,-9,3,-9,3,-10,3,-9,3,-9,3,-9,3,-8,3,-8,3,-8,3,-8,3,-8,3,-7,4,-7,4,-7,4,-7,4,-6,4,-6,4,-6,4,-5,4,-5,4,-5,3,-4,4,-4,4,-3,4,-3,0,0,0,0,0,0,0,0,0,0"
1766188162.3804927,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-11,-5,-11,-4,-12,-4,-11,-5,-10,-4,-11,-4,-10,-4,-10,-3,-10,-3,-10,-2,-10,-3,-10,-2,-10,-2,-10,-2,-10,-2,-10,-2,-10,-1,-9,-1,-10,0,-10,-1,-9,-1,-9,0,-9,0,-10,0,-10,0,-10,-1,0,0,-10,0,-10,-1,-10,0,-10,0,-9,0,-10,0,-9,-1,-9,0,-9,-1,-9,-1,-9,-1,-8,-1,-8,-1,-8,-2,-8,-2,-8,-2,-7,-2,-7,-2,-7,-3,-7,-2,-6,-3,-6,-3,-5,-3,-5,-3,-5,-3,-5,-4,0,0,0,0,0,0,0,0,0,0"
1766188162.3960645,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,10,4,11,2,10,3,10,3,9,3,9,4,8,3,8,4,8,4,8,4,8,4,8,4,8,4,7,4,8,4,7,4,7,5,6,5,6,4,7,5,6,4,6,6,7,5,6,5,7,0,0,5,7,5,7,5,7,5,7,4,6,4,7,4,7,4,6,3,7,4,7,3,7,3,6,2,7,2,6,1,7,2,6,2,6,1,6,1,6,1,5,1,6,0,5,-1,5,-1,5,-1,5,-1,4,0,0,0,0,0,0,0,0,0,0"
1766188162.4123743,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,12,0,11,0,11,0,10,0,10,0,10,-1,10,-1,10,-2,10,-1,10,-2,9,-2,9,-2,8,-2,10,-2,9,-3,8,-3,8,-3,8,-3,8,-3,8,-3,8,-3,8,-4,8,-4,8,-4,0,0,8,-4,9,-4,8,-4,9,-4,8,-3,8,-3,8,-3,8,-3,8,-2,8,-2,8,-2,7,-2,7,-2,7,-2,7,-1,7,-1,7,-1,6,-1,6,0,6,0,6,0,5,0,5,1,5,1,4,1,4,1,0,0,0,0,0,0,0,0,0,0"
1766188162.4310381,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,10,-6,10,-6,10,-6,10,-5,9,-6,9,-5,9,-6,8,-6,8,-6,8,-6,8,-6,8,-6,8,-7,7,-6,7,-6,7,-7,6,-7,6,-6,6,-7,6,-7,6,-6,6,-7,5,-7,6,-8,6,-7,6,-7,0,0,6,-8,6,-7,6,-7,6,-7,6,-7,6,-7,6,-7,6,-6,6,-6,6,-6,6,-6,6,-5,6,-5,6,-5,6,-4,6,-4,6,-4,6,-4,6,-3,5,-3,5,-3,5,-2,5,-2,5,-1,5,-1,5,-1,0,0,0,0,0,0,0,0,0,0"
1766188162.4530828,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-12,-1,-12,-1,-12,0,-12,-1,-11,-1,-11,-1,-11,0,-11,0,-10,0,-10,0,-11,0,-11,0,-10,1,-10,1,-10,1,-10,1,-10,2,-9,1,-9,2,-9,2,-9,2,-9,2,-9,2,-9,3,-9,2,-9,2,0,0,-9,2,-9,2,-9,2,-10,2,-9,2,-9,2,-9,1,-9,1,-9,1,-9,1,-9,0,-8,0,-8,0,-8,0,-8,-1,-8,-1,-8,-1,-7,-1,-7,-1,-7,-1,-7,-2,-6,-2,-6,-2,-6,-3,-5,-3,-5,-3,0,0,0,0,0,0,0,0,0,0"
1766188162.4789746,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-11,3,-11,3,-12,4,-11,3,-11,3,-10,3,-10,3,-10,3,-10,4,-9,4,-9,4,-9,4,-9,4,-9,4,-8,4,-9,4,-8,5,-8,4,-8,5,-8,4,-7,4,-8,5,-7,5,-8,6,-8,5,-8,5,0,0,-8,5,-8,5,-7,5,-8,6,-7,4,-8,5,-8,5,-7,4,-8,4,-8,4,-8,3,-7,3,-7,3,-7,2,-7,3,-7,2,-8,2,-7,1,-7,1,-6,1,-6,1,-6,0,-6,0,-6,0,-6,-1,-5,-1,0,0,0,0,0,0,0,0,0,0"
