ts,type,data
1766188162.5061219,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-10,-7,-10,-6,-11,-6,-10,-6,-10,-6,-10,-6,-10,-5,-10,-5,-10,-5,-10,-4,-10,-5,-10,-4,-9,-4,-9,-4,-9,-4,-9,-4,-10,-3,-9,-3,-9,-2,-9,-2,-9,-2,-9,-2,-9,-2,-10,-2,-9,-2,-9,-2,0,0,-10,-2,-9,-3,-9,-2,-10,-2,-9,-2,-9,-3,-9,-3,-9,-3,-9,-3,-8,-3,-8,-4,-8,-3,-7,-4,-7,-4,-7,-4,-7,-4,-7,-4,-6,-4,-6,-5,-6,-4,-5,-4,-5,-4,-4,-4,-4,-5,-4,-5,-3,-5,0,0,0,0,0,0,0,0,0,0"
1766188162.5337112,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-5,-11,-5,-11,-6,-11,-5,-10,-5,-10,-5,-9,-6,-9,-6,-9,-6,-9,-6,-9,-6,-9,-6,-9,-6,-8,-6,-8,-6,-7,-6,-8,-7,-7,-7,-7,-7,-7,-7,-7,-6,-6,-7,-7,-7,-6,-7,-7,-7,-7,-7,-7,0,0,-8,-6,-7,-7,-7,-7,-7,-7,-7,-6,-7,-7,-7,-7,-6,-7,-6,-7,-6,-7,-5,-7,-5,-7,-5,-7,-5,-7,-4,-7,-4,-7,-4,-7,-4,-7,-4,-6,-3,-6,-3,-6,-3,-6,-2,-6,-2,-6,-1,-6,-1,-5,0,0,0,0,0,0,0,0,0,0"
1766188162.552071,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-2,11,-1,11,-1,12,-2,11,-1,11,-1,10,-1,10,0,10,0,10,0,9,-1,10,0,10,0,9,0,9,0,9,1,9,1,9,1,8,1,9,2,9,1,8,2,8,2,8,2,9,2,9,2,9,0,0,2,9,2,9,2,9,2,9,1,8,2,9,1,9,1,8,1,8,1,8,0,9,0,8,0,7,0,7,-1,7,-1,7,-1,7,-1,7,-1,6,-1,6,-2,6,-2,6,-2,5,-3,5,-3,4,-3,4,0,0,0,0,0,0,0,0,0,0"
1766188162.5725062,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-9,-8,-9,-9,-9,-8,-8,-8,-9,-8,-8,-7,-9,-7,-8,-6,-8,-6,-9,-6,-8,-6,-9,-6,-8,-6,-8,-5,-8,-5,-9,-5,-9,-5,-9,-4,-9,-4,-9,-4,-8,-4,-9,-4,-8,-3,-9,-3,-9,-3,-9,-4,0,0,-9,-3,-9,-4,-9,-3,-9,-3,-9,-3,-9,-4,-9,-4,-8,-4,-8,-4,-8,-4,-8,-4,-7,-4,-7,-4,-7,-4,-7,-5,-6,-5,-6,-5,-6,-4,-6,-4,-5,-4,-5,-5,-5,-5,-4,-5,-4,-5,-4,-5,-3,-5,0,0,0,0,0,0,0,0,0,0"
1766188162.5911107,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-11,4,-11,4,-11,5,-11,4,-10,4,-10,4,-10,4,-9,4,-9,4,-9,5,-9,4,-9,5,-8,5,-8,4,-8,4,-8,5,-8,5,-7,5,-7,6,-7,5,-7,5,-7,6,-7,5,-7,6,-7,5,-7,5,0,0,-7,6,-7,5,-7,5,-7,6,-7,5,-7,5,-7,5,-7,5,-7,4,-7,4,-8,4,-7,3,-7,3,-7,3,-7,3,-7,3,-7,2,-7,2,-7,1,-6,1,-6,1,-6,1,-6,0,-6,0,-6,0,-5,-1,0,0,0,0,0,0,0,0,0,0"
1766188162.6394172,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,11,-1,11,0,10,-1,10,0,10,-1,10,-1,9,-1,10,-2,9,-1,10,-2,9,-2,9,-2,8,-2,9,-2,8,-3,8,-3,8,-4,8,-3,8,-3,8,-4,8,-3,8,-4,8,-3,8,-4,0,0,8,-4,8,-4,8,-4,8,-4,8,-3,8,-3,8,-4,8,-3,8,-3,8,-3,8,-2,7,-2,7,-2,7,-2,7,-1,7,-1,7,-1,6,-1,6,-1,6,-1,6,0,5,0,5,0,5,1,5,1,4,1,0,0,0,0,0,0,0,0,0,0"
1766188162.6570172,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-5,11,-5,10,-5,11,-5,10,-5,10,-4,10,-4,10,-4,9,-4,9,-2,10,-3,9,-2,10,-2,10,-2,9,-2,9,-2,9,-1,9,-1,8,-1,9,-1,8,-1,8,0,8,-1,8,0,9,0,9,-1,9,0,0,0,9,-1,9,-1,9,0,9,-1,8,-1,8,-1,9,-1,8,-1,8,-1,8,-2,8,-2,7,-2,7,-2,7,-2,7,-2,7,-2,6,-2,6,-3,6,-3,6,-3,5,-3,5,-3,4,-3,4,-4,4,-4,3,0,0,0,0,0,0,0,0,0,0"
1766188162.6716576,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,1,12,1,12,1,12,1,12,1,11,1,11,1,11,1,10,1,10,2,9,2,10,2,10,2,9,2,9,2,9,2,9,3,9,2,8,3,8,3,8,2,8,3,8,3,7,4,8,3,8,3,8,0,0,3,9,3,9,3,8,3,8,2,8,2,8,2,8,1,8,2,8,2,8,1,9,0,8,0,7,0,8,0,8,-1,9,0,5,-1,6,0,5,-3,5,-1,6,0,5,1,5,-2,5,-4,4,-2,5,0,0,0,0,0,0,0,0,0,0"
1766188162.6893637,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-12,0,-12,0,-12,1,-12,0,-11,1,-11,1,-11,1,-11,1,-10,1,-10,2,-10,1,-10,2,-10,2,-10,2,-9,2,-10,2,-9,3,-9,3,-9,4,-9,3,-8,3,-9,4,-8,3,-9,4,-9,4,-9,4,0,0,-9,4,-9,4,-9,4,-9,4,-9,4,-9,3,-9,3,-8,3,-8,3,-8,3,-9,2,-8,2,-8,2,-8,2,-8,1,-8,1,-8,1,-7,1,-7,1,-7,0,-7,0,-6,0,-6,-1,-6,-1,-6,-1,-5,-1,0,0,0,0,0,0,0,0,0,0"
1766188162.705341,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,11,3,11,2,12,2,11,3,11,2,10,2,10,2,10,1,9,1,10,1,10,1,10,0,10,0,9,0,9,0,10,0,9,-1,9,-1,9,-1,9,-1,8,-1,9,-2,8,-1,9,-2,9,-1,9,-1,0,0,9,-2,9,-2,9,-1,9,-1,9,-1,9,-1,9,-1,9,-1,8,0,8,0,8,0,8,0,7,0,7,0,7,1,7,1,7,1,6,1,6,1,6,1,6,2,5,2,5,2,5,2,4,2,3,2,0,0,0,0,0,0,0,0,0,0"
1766188162.7258615,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-11,-3,-12,-4,-12,-3,-11,-4,-11,-3,-11,-3,-11,-2,-10,-2,-10,-2,-10,-2,-10,-1,-10,-1,-10,-1,-10,-1,-9,-1,-10,-1,-10,0,-9,0,-10,1,-10,0,-9,0,-9,0,-8,0,-9,2,-9,1,-10,1,0,0,-10,1,-9,0,-10,1,-9,1,-9,0,-9,0,-9,0,-8,0,-9,-1,-9,0,-9,-1,-8,-1,-8,-1,-8,-1,-7,-2,-8,-1,-7,-1,-7,-2,-7,-2,-6,-2,-6,-2,-6,-2,-5,-3,-6,-3,-5,-3,-5,-3,0,0,0,0,0,0,0,0,0,0"
1766188162.7444284,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,7,8,6,8,7,9,6,8,6,8,6,7,6,8,6,7,6,7,7,6,6,7,7,6,6,6,6,6,6,5,7,6,7,4,6,5,7,4,7,4,6,4,7,4,6,4,8,3,7,4,7,4,0,0,7,4,7,4,7,4,8,5,6,4,7,5,7,5,6,5,6,5,6,4,6,5,5,4,5,4,5,5,5,5,5,5,4,5,4,5,3,5,3,5,3,5,2,4,2,4,2,4,1,4,1,4,0,0,0,0,0,0,0,0,0,0"
1766188162.7650254,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,8,-8,8,-8,8,-8,9,-8,8,-7,8,-7,7,-7,7,-8,7,-8,6,-8,6,-8,6,-8,6,-8,6,-8,5,-8,5,-8,5,-8,4,-8,4,-8,4,-8,4,-8,4,-8,4,-8,4,-9,4,-9,4,-9,0,0,4,-9,4,-8,4,-9,4,-9,4,-8,4,-8,5,-8,4,-8,5,-7,4,-7,5,-7,4,-7,4,-6,5,-6,5,-6,5,-6,5,-5,5,-5,5,-5,5,-4,5,-4,5,-4,4,-3,5,-3,4,-2,4,-2,0,0,0,0,0,0,0,0,0,0"
1766188162.7874093,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-2,-12,-2,-12,-3,-12,-2,-12,-2,-11,-2,-11,-3,-11,-3,-10,-3,-10,-3,-10,-3,-10,-4,-10,-4,-10,-4,-9,-4,-9,-4,-9,-5,-9,-4,-8,-5,-8,-5,-8,-4,-8,-5,-8,-5,-8,-6,-8,-5,-8,-5,-8,0,0,-6,-8,-5,-8,-5,-8,-5,-8,-5,-8,-5,-8,-5,-8,-4,-8,-4,-8,-4,-8,-4,-8,-4,-8,-3,-8,-3,-8,-3,-7,-3,-8,-2,-7,-2,-7,-2,-7,-2,-7,-2,-7,-1,-7,-1,-6,0,-6,0,-6,0,-6,0,0,0,0,0,0,0,0,0,0"
1766188162.8028262,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,12,-1,11,0,10,-1,10,0,10,-1,10,-1,9,-1,10,-1,10,-1,9,-2,9,-2,9,-2,9,-2,9,-2,9,-3,8,-3,8,-3,8,-3,8,-3,8,-3,7,-3,8,-3,8,-3,8,-3,0,0,8,-3,8,-3,9,-3,8,-4,8,-3,9,-3,8,-3,8,-2,8,-2,8,-2,8,-2,7,-1,7,-2,7,-1,7,-1,7,-1,7,0,6,0,6,0,6,1,6,0,5,1,5,1,5,1,4,1,4,2,0,0,0,0,0,0,0,0,0,0"
1766188162.8246982,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-11,-3,-12,-3,-12,-3,-12,-3,-11,-2,-11,-2,-11,-2,-11,-2,-10,-1,-10,-1,-10,-2,-10,-1,-10,-1,-10,-1,-9,-1,-10,-1,-10,0,-9,0,-9,1,-9,1,-9,0,-9,1,-8,1,-9,1,-9,1,-9,1,0,0,-10,1,-9,1,-9,1,-9,1,-9,0,-9,0,-9,0,-9,0,-9,0,-8,-1,-9,-1,-8,-1,-8,-1,-8,-1,-8,-1,-8,-2,-8,-2,-7,-2,-7,-2,-6,-2,-6,-3,-6,-2,-6,-3,-6,-3,-5,-3,-5,-4,0,0,0,0,0,0,0,0,0,0"
1766188162.8419678,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,11,-1,11,-2,12,-2,11,-1,11,-2,10,-2,10,-2,10,-2,9,-2,9,-3,9,-2,10,-3,9,-3,9,-3,8,-3,9,-3,9,-4,8,-4,8,-5,8,-5,8,-4,8,-5,7,-4,8,-6,8,-5,8,-5,0,0,8,-5,8,-5,8,-5,8,-5,8,-5,8,-5,8,-4,8,-4,8,-4,8,-4,8,-3,7,-3,7,-3,7,-3,7,-2,7,-2,7,-2,6,-2,6,-2,6,-1,6,-1,6,-1,5,0,5,0,5,0,4,1,0,0,0,0,0,0,0,0,0,0"
1766188162.8643622,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-11,-6,-11,-6,-11,-6,-11,-7,-10,-6,-10,-5,-10,-5,-10,-5,-10,-4,-10,-4,-10,-5,-11,-4,-10,-3,-10,-3,-9,-3,-10,-3,-11,-3,-10,-2,-10,-2,-10,-2,-9,-2,-10,-2,-9,-2,-10,-1,-10,-1,-10,-2,0,0,-10,-1,-10,-1,-10,-2,-10,-2,-10,-2,-10,-2,-10,-2,-9,-2,-9,-2,-9,-2,-9,-3,-8,-3,-8,-3,-8,-3,-8,-3,-8,-4,-7,-3,-7,-3,-6,-4,-6,-3,-6,-4,-6,-4,-5,-4,-5,-4,-4,-4,-4,-4,0,0,0,0,0,0,0,0,0,0"
1766188162.882022,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,10,-5,10,-5,10,-6,10,-5,10,-5,9,-6,9,-6,9,-5,8,-6,8,-6,9,-6,8,-6,8,-6,7,-6,7,-6,7,-7,7,-7,6,-6,6,-8,6,-7,6,-7,6,-7,6,-7,6,-8,6,-7,6,-7,0,0,6,-8,6,-8,6,-8,6,-8,6,-7,6,-7,6,-7,6,-7,6,-6,6,-6,7,-6,6,-5,6,-5,6,-5,6,-5,6,-4,6,-4,6,-4,5,-4,5,-3,6,-3,5,-3,5,-3,5,-2,5,-2,4,-1,0,0,0,0,0,0,0,0,0,0"
1766188162.90296,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-12,1,-12,1,-12,1,-12,1,-11,1,-11,1,-11,2,-10,1,-10,2,-10,2,-10,1,-10,2,-10,2,-10,3,-9,2,-9,3,-9,3,-8,3,-8,4,-8,3,-8,3,-9,4,-8,4,-8,5,-9,4,-8,4,0,0,-8,5,-8,4,-8,5,-8,5,-8,4,-8,4,-9,4,-8,3,-8,3,-8,3,-8,3,-7,2,-7,2,-8,2,-8,2,-7,2,-8,1,-7,1,-7,1,-7,0,-6,0,-6,0,-6,-1,-6,-1,-5,-1,-5,-1,0,0,0,0,0,0,0,0,0,0"
1766188162.922739,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-8,8,-8,8,-8,9,-8,8,-7,8,-7,8,-6,8,-6,7,-6,7,-6,8,-6,8,-6,8,-5,8,-5,7,-5,7,-5,8,-4,8,-4,7,-4,8,-4,8,-4,7,-3,8,-3,7,-3,8,-4,8,-4,8,0,0,-3,8,-3,8,-3,8,-3,8,-4,8,-3,8,-4,8,-4,7,-4,7,-4,7,-4,7,-4,6,-4,6,-4,6,-4,6,-5,6,-5,5,-5,5,-5,5,-4,4,-5,4,-4,4,-5,3,-5,3,-5,2,-5,2,0,0,0,0,0,0,0,0,0,0"
1766188162.937492,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,7,9,7,8,7,9,6,8,7,8,6,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,6,6,6,5,7,6,7,5,6,5,7,4,7,5,6,4,7,4,7,4,8,4,7,4,7,4,0,0,8,4,7,5,7,4,8,4,6,4,7,5,7,5,6,5,6,5,6,5,6,6,5,5,5,5,5,5,4,5,4,5,4,5,3,5,3,5,3,5,3,5,2,5,2,5,1,5,1,4,0,4,0,0,0,0,0,0,0,0,0,0"
