timestamp,role,raw_data
1765579586.1990528,RX,"0,0,0,0,0,0,0,0,0,0,0,0,-1,-12,-1,-12,-2,-12,-1,-12,-2,-11,-1,-11,-2,-11,-2,-10,-2,-10,-3,-10,-2,-11,-3,-11,-3,-10,-3,-10,-3,-9,-3,-10,-4,-10,-4,-9,-4,-9,-4,-9,-4,-9,-4,-9,-4,-9,-5,-9,-4,-9,-4,-10,0,0,-4,-10,-4,-9,-4,-9,-4,-9,-4,-9,-4,-9,-3,-9,-3,-9,-3,-9,-3,-9,-3,-9,-2,-9,-2,-8,-2,-8,-2,-8,-1,-8,-1,-8,-1,-8,-1,-8,-1,-7,0,-7,0,-7,0,-6,1,-6,1,-6,1,-5,0,0,0,0,0,0,0,0,0,0"
1765579586.2092674,RX,"0,0,0,0,0,0,0,0,0,0,0,0,-12,-3,-12,-3,-13,-3,-12,-4,-12,-3,-11,-2,-12,-2,-11,-2,-11,-2,-11,-1,-11,-2,-11,-1,-11,-1,-10,-1,-10,-1,-11,0,-10,0,-10,0,-10,1,-10,1,-10,0,-10,1,-10,1,-11,1,-10,1,-10,1,0,0,-10,1,-10,1,-10,1,-10,1,-10,0,-11,0,-11,0,-10,0,-10,0,-10,0,-10,-1,-9,-1,-9,-1,-9,-1,-9,-1,-8,-1,-8,-2,-8,-2,-8,-2,-7,-2,-7,-2,-7,-3,-6,-3,-6,-3,-6,-3,-5,-3,0,0,0,0,0,0,0,0,0,0"
1765579586.217751,RX,"0,0,0,0,0,0,0,0,0,0,0,0,10,-7,10,-7,9,-7,10,-6,9,-6,9,-7,8,-7,8,-7,8,-7,7,-7,7,-7,7,-8,7,-7,7,-7,6,-7,7,-8,6,-8,6,-7,6,-8,6,-8,5,-7,5,-8,5,-8,5,-9,5,-8,5,-9,0,0,5,-9,6,-8,6,-8,6,-9,6,-8,6,-8,6,-7,6,-7,6,-7,6,-7,6,-7,6,-6,6,-6,6,-6,6,-5,6,-5,6,-5,6,-5,6,-4,5,-4,5,-4,5,-3,5,-3,5,-2,5,-2,5,-2,0,0,0,0,0,0,0,0,0,0"
1765579586.225207,RX,"0,0,0,0,0,0,0,0,0,0,0,0,2,11,3,11,3,11,3,11,3,10,2,10,3,9,3,9,3,9,4,9,3,9,4,9,4,9,4,8,4,8,4,8,5,8,4,7,5,7,5,7,5,7,5,7,4,7,6,7,5,7,5,8,0,0,6,8,5,7,5,8,5,7,5,8,5,8,5,8,4,7,4,8,4,7,3,8,3,7,3,7,3,7,2,7,2,7,2,7,1,7,1,7,1,6,1,6,0,6,0,6,0,6,-1,5,-1,5,0,0,0,0,0,0,0,0,0,0"
1765579586.2369556,RX,"0,0,0,0,0,0,0,0,0,0,0,0,-10,-7,-11,-7,-11,-7,-10,-7,-10,-7,-9,-6,-9,-6,-10,-5,-10,-6,-10,-5,-9,-5,-10,-5,-10,-5,-10,-5,-9,-4,-10,-4,-10,-3,-9,-3,-10,-3,-10,-3,-9,-3,-10,-3,-9,-2,-10,-2,-10,-3,-10,-2,0,0,-10,-2,-10,-3,-10,-3,-10,-3,-10,-3,-10,-3,-10,-3,-9,-4,-9,-4,-9,-3,-9,-4,-8,-4,-8,-4,-8,-4,-7,-4,-7,-4,-7,-4,-7,-4,-6,-4,-6,-4,-6,-4,-5,-5,-5,-5,-5,-5,-4,-5,-4,-5,0,0,0,0,0,0,0,0,0,0"
1765579586.2454772,RX,"0,0,0,0,0,0,0,0,0,0,0,0,-2,11,-3,10,-1,11,-1,11,-2,9,-2,9,0,10,0,9,-1,9,0,9,-1,9,0,10,0,9,0,8,1,8,0,9,1,9,1,8,2,8,2,8,2,8,2,8,2,8,2,8,2,8,2,8,0,0,2,8,2,8,2,8,2,9,2,8,2,8,1,8,1,8,1,8,1,8,0,8,0,7,0,7,0,7,0,7,-1,7,-1,7,-1,7,-1,6,-1,6,-1,6,-2,5,-2,5,-2,5,-2,5,-2,4,0,0,0,0,0,0,0,0,0,0"
1765579586.253677,RX,"0,0,0,0,0,0,0,0,0,0,0,0,4,10,5,11,5,10,5,10,5,10,5,9,5,9,5,8,5,9,5,8,5,8,5,8,6,8,6,7,6,7,5,7,6,7,6,6,7,6,6,7,6,6,6,6,6,6,7,6,7,6,7,6,0,0,7,7,6,6,7,7,7,6,6,7,6,7,6,7,6,7,5,7,5,6,5,7,5,6,4,6,4,7,3,6,4,7,3,6,3,6,3,6,2,6,2,6,2,6,1,5,1,6,1,5,0,5,0,0,0,0,0,0,0,0,0,0"
1765579586.2628193,RX,"0,0,0,0,0,0,0,0,0,0,0,0,-6,10,-5,10,-5,11,-5,10,-5,10,-5,10,-4,10,-4,9,-4,9,-3,9,-4,9,-4,10,-3,9,-3,9,-3,8,-3,9,-2,9,-2,9,-2,9,-2,9,-2,8,-2,9,-2,9,-1,9,-2,9,-1,10,0,0,-2,9,-2,9,-2,9,-2,10,-2,9,-2,9,-3,9,-2,8,-3,9,-3,8,-3,8,-3,7,-3,7,-4,7,-4,7,-4,7,-4,7,-4,6,-4,6,-4,5,-5,5,-4,5,-4,4,-5,4,-5,3,-5,3,0,0,0,0,0,0,0,0,0,0"
1765579586.270016,RX,"0,0,0,0,0,0,0,0,0,0,0,0,2,11,2,11,3,11,2,11,2,10,2,10,3,10,3,10,3,9,3,9,2,9,3,9,3,9,3,9,3,8,3,9,4,8,4,8,4,8,4,8,4,7,5,7,4,7,5,8,4,8,5,8,0,0,5,8,5,8,5,8,5,8,4,8,4,8,4,8,4,8,3,8,3,8,2,8,2,7,2,7,2,7,2,7,1,7,1,7,1,7,1,7,1,6,0,6,0,6,0,6,-1,6,-1,5,-2,5,0,0,0,0,0,0,0,0,0,0"
1765579586.2808976,RX,"0,0,0,0,0,0,0,0,0,0,0,0,6,9,6,9,7,9,6,9,6,8,6,8,6,8,6,7,6,7,6,7,6,7,7,7,7,7,7,6,6,6,7,6,7,5,7,5,7,5,7,5,7,5,7,5,7,4,8,4,8,5,8,5,0,0,8,5,8,5,8,5,8,5,7,5,7,5,7,5,7,5,6,6,6,5,6,6,6,5,5,5,5,6,5,5,4,6,4,6,4,5,4,5,3,5,3,5,3,5,2,5,2,5,1,5,1,5,0,0,0,0,0,0,0,0,0,0"
