timestamp,role,raw_data
1765579595.6060143,RX,"0,0,0,0,0,0,0,0,0,0,0,0,6,9,6,8,7,8,6,8,6,8,6,7,7,7,6,7,6,7,6,6,6,7,7,6,7,6,6,6,6,5,7,6,7,5,6,5,7,4,7,5,6,4,7,4,7,4,7,4,7,5,8,4,0,0,7,5,7,5,7,5,7,5,7,5,7,5,7,5,6,5,6,5,6,5,6,6,5,5,5,5,5,5,4,5,4,5,4,5,4,5,3,5,3,5,3,5,2,5,2,5,2,5,1,5,1,5,0,0,0,0,0,0,0,0,0,0"
1765579595.620258,RX,"0,0,0,0,0,0,0,0,0,0,0,0,-6,10,-6,11,-5,11,-6,10,-5,9,-5,10,-5,9,-4,9,-4,9,-4,9,-4,9,-4,10,-3,9,-3,9,-3,9,-3,9,-2,9,-2,8,-2,9,-2,9,-2,8,-2,9,-2,8,-1,9,-2,9,-2,9,0,0,-2,9,-2,9,-2,9,-2,9,-3,9,-3,9,-3,9,-3,8,-3,8,-3,8,-3,8,-3,7,-4,7,-4,7,-4,6,-4,6,-4,6,-4,6,-4,5,-4,5,-5,5,-5,4,-5,4,-5,4,-5,3,-5,3,0,0,0,0,0,0,0,0,0,0"
1765579595.6303477,RX,"0,0,0,0,0,0,0,0,0,0,0,0,11,-3,10,-4,11,-4,10,-3,10,-4,9,-4,10,-4,9,-4,9,-4,9,-4,9,-4,9,-5,8,-4,8,-4,8,-4,8,-5,8,-5,7,-5,8,-6,7,-5,7,-5,7,-5,7,-5,7,-6,8,-6,7,-6,0,0,7,-6,8,-6,7,-6,8,-6,7,-5,8,-5,8,-5,7,-5,7,-4,7,-4,8,-4,7,-3,7,-3,7,-3,7,-3,6,-3,7,-2,6,-2,6,-2,6,-2,6,-1,5,-1,6,-1,6,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0"
1765579595.6398282,RX,"0,0,0,0,0,0,0,0,0,0,0,0,9,-8,9,-8,8,-8,9,-8,8,-7,8,-7,7,-7,7,-7,7,-7,7,-8,7,-7,6,-8,6,-8,6,-8,6,-8,6,-8,5,-8,5,-7,5,-8,5,-8,5,-8,5,-8,4,-8,4,-9,5,-9,4,-9,0,0,5,-9,5,-8,5,-9,4,-9,5,-8,5,-8,5,-8,5,-8,5,-7,5,-7,5,-7,5,-7,5,-7,5,-6,5,-6,5,-6,5,-5,5,-5,5,-5,5,-4,5,-4,5,-4,5,-3,5,-3,4,-3,4,-2,0,0,0,0,0,0,0,0,0,0"
1765579595.651666,RX,"0,0,0,0,0,0,0,0,0,0,0,0,-7,-11,-7,-11,-8,-10,-7,-10,-7,-10,-7,-10,-7,-9,-7,-9,-7,-9,-7,-8,-7,-9,-7,-8,-8,-8,-7,-7,-7,-7,-8,-7,-8,-7,-7,-7,-8,-6,-8,-6,-7,-6,-8,-6,-7,-6,-8,-6,-8,-6,-8,-6,0,0,-8,-7,-8,-7,-8,-6,-8,-7,-8,-7,-8,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-6,-7,-6,-7,-6,-7,-5,-7,-5,-7,-4,-7,-4,-7,-4,-6,-4,-6,-3,-7,-3,-6,-3,-6,-2,-6,-2,-6,-1,-6,0,0,0,0,0,0,0,0,0,0"
1765579595.660792,RX,"0,0,0,0,0,0,0,0,0,0,0,0,-5,11,-4,10,-4,11,-5,10,-4,10,-4,10,-3,10,-3,10,-3,10,-3,9,-3,10,-2,10,-2,9,-2,9,-2,9,-2,9,-1,9,-1,9,-1,9,-1,9,-1,8,-1,9,0,8,0,9,-1,9,0,9,0,0,0,9,-1,9,-1,9,-1,10,-1,9,-1,9,-1,9,-2,8,-2,8,-2,8,-2,9,-2,8,-2,7,-2,7,-2,7,-3,7,-3,7,-3,6,-3,6,-3,6,-3,5,-3,5,-4,5,-4,4,-4,4,-4,3,0,0,0,0,0,0,0,0,0,0"
1765579595.6691022,RX,"0,0,0,0,0,0,0,0,0,0,0,0,9,-7,9,-7,9,-7,10,-6,9,-7,9,-6,8,-6,8,-6,8,-6,7,-7,8,-7,7,-7,7,-7,7,-7,6,-7,7,-7,6,-7,6,-7,6,-7,6,-7,6,-7,6,-8,5,-7,5,-8,5,-8,5,-8,0,0,5,-8,6,-8,6,-8,6,-8,6,-7,6,-7,6,-7,6,-7,6,-6,6,-7,6,-6,6,-6,6,-6,6,-6,6,-5,6,-5,6,-5,6,-4,6,-4,5,-4,5,-3,5,-3,5,-2,5,-2,5,-2,5,-2,0,0,0,0,0,0,0,0,0,0"
1765579595.6772432,RX,"0,0,0,0,0,0,0,0,0,0,0,0,7,8,7,8,8,8,7,8,7,7,7,7,7,7,7,7,7,7,7,6,7,6,7,6,7,6,7,5,7,5,7,6,7,5,7,4,7,4,7,4,7,4,7,4,7,4,8,4,8,4,8,4,0,0,8,4,8,4,8,4,8,4,7,4,8,4,7,5,7,5,6,5,7,5,7,5,6,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,5,3,5,3,5,3,5,2,5,2,5,1,4,0,0,0,0,0,0,0,0,0,0"
1765579595.6895852,RX,"0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,7,7,7,8,7,7,6,7,6,8,5,7,6,8,6,8,5,7,5,7,5,8,5,8,4,7,4,8,4,8,4,7,4,8,4,7,4,8,4,8,4,8,4,0,0,8,4,8,4,8,4,8,5,7,5,7,5,7,5,7,5,6,5,6,5,6,5,6,5,6,5,5,5,5,5,5,5,4,5,4,5,4,5,3,5,3,5,2,5,2,5,2,5,1,5,1,5,0,0,0,0,0,0,0,0,0,0"
1765579595.699335,RX,"0,0,0,0,0,0,0,0,0,0,0,0,-11,5,-11,5,-11,5,-11,5,-11,4,-10,5,-10,5,-9,5,-9,5,-9,5,-9,5,-9,5,-9,5,-8,5,-8,5,-8,6,-8,6,-7,5,-7,6,-7,6,-7,5,-7,6,-7,6,-7,6,-7,6,-7,7,0,0,-8,6,-7,6,-8,6,-8,6,-8,6,-8,6,-8,6,-8,5,-8,5,-7,5,-8,5,-7,4,-7,4,-8,4,-7,3,-7,3,-7,3,-7,3,-7,2,-6,2,-7,1,-6,1,-6,1,-6,1,-6,0,-6,0,0,0,0,0,0,0,0,0,0,0"
